SETOR,SUB SETOR,SEGMENTO,CÓDIGO,TICKER
Saúde,Análises e Diagnósticos,Análises e Diagnósticos,AALR,AALR3
Financeiro,Intermediários Financeiros,Bancos,ABCB,ABCB4
Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,ABEV,ABEV3
Saúde,Análises e Diagnósticos,Análises e Diagnósticos,ADHM,ADHM3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,AERI,AERI3
Utilidade Pública,Energia Elétrica,Energia Elétrica,AESB,AESB3
Utilidade Pública,Energia Elétrica,Energia Elétrica,AFLT,AFLT3
Consumo não Cíclico,Agropecuária,Agricultura,AGRO,AGRO3
Consumo não Cíclico,Agropecuária,Agricultura,AGXY,AGXY3
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,AHEB,AHEB3
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,AHEB,AHEB5
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,AHEB,AHEB6
Consumo Cíclico,Comércio,Eletrodomésticos,ALLD,ALLD3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,ALPA,ALPA3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,ALPA,ALPA4
Bens Industriais,Serviços Diversos,Serviços Diversos,ALPK,ALPK3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,ALSO,ALSO3
Utilidade Pública,Energia Elétrica,Energia Elétrica,ALUP,ALUP11
Utilidade Pública,Energia Elétrica,Energia Elétrica,ALUP,ALUP3
Utilidade Pública,Energia Elétrica,Energia Elétrica,ALUP,ALUP4
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",AMAR,AMAR3
Bens Industriais,Serviços Diversos,Serviços Diversos,AMBP,AMBP3
Consumo Cíclico,Comércio,Produtos Diversos,AMER,AMER3
Consumo Cíclico,Diversos,Serviços Educacionais,ANIM,ANIM3
Financeiro,Previdência e Seguros,Corretoras de Seguros,APER,APER3
Consumo não Cíclico,Agropecuária,Agricultura,APTI,APTI3
Consumo não Cíclico,Agropecuária,Agricultura,APTI,APTI4
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ARML,ARML3
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",ARZZ,ARZZ3
Consumo não Cíclico,Comércio e Distribuição,Alimentos,ASAI,ASAI3
Bens Industriais,Serviços Diversos,Serviços Diversos,ATMP,ATMP3
Financeiro,Outros,Outros,ATOM,ATOM3
Materiais Básicos,Mineração,Minerais Metálicos,AURA,AURA33
Utilidade Pública,Energia Elétrica,Energia Elétrica,AURE,AURE3
Consumo Cíclico,Construção Civil,Incorporações,AVLL,AVLL3
Bens Industriais,Construção e Engenharia,Construção Pesada,AZEV,AZEV3
Bens Industriais,Construção e Engenharia,Construção Pesada,AZEV,AZEV4
Bens Industriais,Transporte,Transporte Aéreo,AZUL,AZUL4
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B3SA,B3SA3
Consumo Cíclico,Diversos,Serviços Educacionais,BAHI,BAHI3
Saúde,Equipamentos,Equipamentos,BALM,BALM3
Saúde,Equipamentos,Equipamentos,BALM,BALM4
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,BAUH,BAUH4
Financeiro,Intermediários Financeiros,Bancos,BAZA,BAZA3
Financeiro,Intermediários Financeiros,Bancos,BBAS,BBAS3
Financeiro,Intermediários Financeiros,Bancos,BBDC,BBDC3
Financeiro,Intermediários Financeiros,Bancos,BBDC,BBDC4
Bens Industriais,Serviços Diversos,Serviços Diversos,BBML,BBML3
Financeiro,Previdência e Seguros,Seguradoras,BBSE,BBSE3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,BDLL,BDLL3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,BDLL,BDLL4
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,BEEF,BEEF3
Financeiro,Intermediários Financeiros,Bancos,BEES,BEES3
Financeiro,Intermediários Financeiros,Bancos,BEES,BEES4
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,BFRE,BFRE11
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,BFRE,BFRE12
Financeiro,Intermediários Financeiros,Bancos,BGIP,BGIP3
Financeiro,Intermediários Financeiros,Bancos,BGIP,BGIP4
Financeiro,Intermediários Financeiros,Bancos,BIDI,BIDI11
Financeiro,Intermediários Financeiros,Bancos,BIDI,BIDI3
Financeiro,Intermediários Financeiros,Bancos,BIDI,BIDI4
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BIOM,BIOM3
Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,BKBR,BKBR3
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BLAU,BLAU3
Financeiro,Holdings Diversificadas,Holdings Diversificadas,BLUT,BLUT3
Financeiro,Holdings Diversificadas,Holdings Diversificadas,BLUT,BLUT4
Financeiro,Intermediários Financeiros,Bancos,BMEB,BMEB3
Financeiro,Intermediários Financeiros,Bancos,BMEB,BMEB4
Financeiro,Intermediários Financeiros,Bancos,BMGB,BMGB4
Financeiro,Intermediários Financeiros,Bancos,BMIN,BMIN3
Financeiro,Intermediários Financeiros,Bancos,BMIN,BMIN4
