TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,79;;-3,95;1,02;0,38;30,10;1,60;-22,81;56,20;97,49;40,90;0,75;0,90;-4,65;-0,49;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;1.892.308,05;8,58;-2,22;-0,04;1.046.891.421,60
ABCB4;23,50;3,56;5,74;0,97;0,10;25,50;17,06;15,50;5,22;5,23;;;0,89;-2,72;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;15.543.311,09;24,15;4,09;-0,31;5.579.845.060,80
ABEV3;13,66;5,35;14,27;2,38;1,56;50,30;22,59;18,29;11,55;10,80;-0,75;-0,15;2,61;58,05;-2,14;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;312.865.121,32;5,73;0,96;0,94;215.039.824.326,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,87;;-9,88;1,33;0,28;12,62;9,03;-3,39;3,71;7,22;3,51;1,26;0,34;1,32;-0,88;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;5.711.602,91;0,66;-0,09;-0,05;1.080.891.421,71
AESB3;12,25;;46,73;1,65;0,37;35,54;28,78;4,90;7,96;17,94;9,96;2,06;2,29;22,58;-0,45;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;23.814.357,32;7,43;0,26;-0,69;7.391.667.379,08
AFLT3;8,45;3,11;17,40;2,04;1,70;57,31;45,58;44,72;17,07;16,69;-0,38;-0,05;7,78;17,47;-2,12;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;6.742,57;4,15;0,49;-0,24;533.065.715,00
AGRO3;25,99;12,36;10,40;1,21;0,76;30,65;20,17;20,86;10,76;12,63;1,85;0,21;2,17;3,72;-1,24;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;9.962.090,18;21,40;2,50;-0,24;2.671.823.212,88
AGXY3;3,38;1,17;-2,29;0,56;0,07;12,31;3,90;-2,43;1,42;4,01;2,59;1,03;0,06;2,53;-0,34;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;493.607,36;6,00;-1,48;-0,01;575.680.212,93
AHEB3;15,50;;1,36;7,93;0,36;33,84;21,93;17,66;1,10;1,07;-0,02;-0,17;0,24;2,31;-0,63;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;4.721,33;1,95;11,39;0,00;132.578.615,53
AHEB5;16,59;;1,46;8,49;0,38;33,84;21,93;17,66;1,17;1,07;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;2.203,00;1,95;11,39;0,00;132.578.615,53
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,07;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;132.578.615,53
ALLD3;7,51;6,43;9,20;0,45;0,20;12,55;3,39;1,31;3,56;4,91;1,28;0,16;0,12;0,69;-0,66;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;489.265,91;16,66;0,82;3,00;713.137.452,30
ALOS3;25,46;2,04;4,66;0,99;0,52;96,37;264,05;140,12;2,47;2,20;-0,28;-0,11;6,53;14,24;-0,58;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;102.990.755,59;25,62;5,46;0,00;14.612.433.703,14
ALPA3;9,79;;-23,75;1,24;0,85;40,37;-9,97;-7,36;-17,51;-19,30;-2,17;0,15;1,75;3,01;-1,39;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;46.049,00;7,89;-0,41;0,14;6.539.451.994,19
ALPA4;9,41;;-22,83;1,19;0,81;40,37;-9,97;-7,36;-16,83;-19,30;-2,17;0,15;1,68;2,89;-1,34;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;37.858.504,73;7,89;-0,41;0,14;6.539.451.994,19
ALPK3;4,85;;-9,72;2,77;0,41;29,90;10,81;-8,39;7,54;16,19;8,65;3,17;0,82;-3,51;-0,48;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;1.137.803,32;1,75;-0,50;0,28;1.052.566.521,25
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;30,83;5,84;12,62;1,25;0,33;75,83;71,87;23,53;4,13;8,03;3,91;1,18;2,97;3,70;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;16.884.887,05;24,75;2,44;-0,59;9.374.373.551,68
ALUP3;10,19;5,89;12,51;1,24;0,33;75,83;71,87;23,53;4,10;8,03;3,91;1,18;2,94;3,67;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;116.908,95;8,25;0,81;-0,59;9.374.373.551,68
ALUP4;10,37;5,79;12,73;1,26;0,34;75,83;71,87;23,53;4,17;8,03;3,91;1,18;3,00;3,73;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;207.114,18;8,25;0,81;-0,60;9.374.373.551,68
AMAR3;3,17;;-0,36;2,02;0,09;35,54;-16,35;-26,68;-0,59;-3,64;-3,04;10,33;0,10;-0,66;-0,14;0,75;-554,09;-24,09;-27,15;0,04;0,96;0,90;-0,89;;2.450.069,77;1,57;-8,71;0,00;218.733.776,58
AMBP3;15,61;0,86;-20,55;2,63;0,25;23,51;18,46;-2,69;2,99;8,19;5,19;4,56;0,55;1,04;-0,43;2,30;-12,82;-1,21;8,16;0,09;0,84;0,45;83,52;;17.161.618,73;5,92;-0,76;0,09;2.614.205.249,85
AMER3;0,89;;-0,06;-0,03;0,03;19,46;-30,26;-50,03;-0,10;-2,24;-2,14;;0,03;-0,02;-0,06;0,34;-48,42;-41,26;202,73;-0,85;1,85;0,82;32,64;;20.522.239,18;-29,55;-14,31;0,00;812.276.552,70
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;4,23;;-18,31;0,67;0,17;57,97;10,96;-2,54;4,24;14,22;9,94;1,57;0,47;9,77;-0,21;1,10;-3,66;-0,94;0,24;0,26;0,70;0,37;27,79;;32.418.341,91;6,32;-0,23;0,24;1.720.481.109,30
APER3;43,51;0,74;33,54;1,05;0,61;100,00;11,00;5,02;15,32;15,03;-0,35;-0,02;1,68;-28,02;-0,77;0,90;3,12;1,82;5,96;0,58;0,42;0,36;22,90;;1.706.024,23;41,62;1,30;-1,37;501.452.253,12
APTI3;197,64;;-0,12;0,02;0,01;92,39;-162,78;-88,96;-0,07;-0,52;0,27;-0,07;0,11;0,02;-0,01;9,26;-14,45;-6,44;-28,38;0,45;0,55;0,07;4,07;;;11.460,45;-1.656,52;0,00;44.442.750,00
APTI4;3.500,00;;-2,11;0,31;0,14;92,39;-162,78;-88,96;-1,15;-0,52;0,27;-0,07;1,88;0,38;-0,23;9,26;-14,45;-6,44;-28,38;0,45;0,55;0,07;4,07;;;11.460,45;-1.656,52;0,00;44.442.750,00
ARML3;15,52;0,22;31,87;4,43;1,35;48,07;34,23;13,57;12,63;16,08;3,33;1,17;4,32;7,96;-1,96;2,22;13,89;4,25;12,06;0,31;0,69;0,31;;;9.140.448,55;3,51;0,49;0,94;5.418.611.202,06
